Rank,Name,City,State,Public_Private,Undergraduate_Population,Student_Population,Net_Price,Average_Grant_Aid,Total_Annual_Cost,Alumni_Salary,Acceptance_Rate,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,Website,,,
648,Emory &amp; Henry College,Emory,VA,Private,1094,1226,47270,27155,48100,70700,72,988,1170,19,25,www.ehc.edu,,,
565,Asbury University,Wilmore,KY,Private,1772,1990,47116,15833,40575,70800,70,980,1280,21,28,www.asbury.edu,,,
587,Converse College,Spartanburg,SC,Private,906,1478,46277,12497,34190,71000,71,970,1160,20,26,www.converse.edu,,,
270,College of the Ozarks,Point Lookout,MO,Private,1508,1773,46101,15362,29539,71100,13,1088,1235,21,26,www.cofo.edu,,,
464,Berea College,Berea,KY,Private,1670,1710,43969,33422,35394,71600,35,970,1200,22,27,www.berea.edu,,,
585,Liberty University,Lynchburg,VA,Private,60084,75044,43965,10400,38364,73600,30,1040,1240,21,27,www.liberty.edu,,,
605,Salem College,Winston-Salem,NC,Private,968,984,43488,25354,46080,73700,57,1020,1300,23,29,www.salem.edu,,,
632,Warren Wilson College,Asheville,NC,Private,661,695,41858,19414,49744,74600,79,1140,1285,25,29,www.warren-wilson.edu/external_index.php,,,
572,Maryville College,Maryville,TN,Private,1181,1247,40976,27778,49266,75300,49,930,1150,20,27,www.maryvillecollege.edu,,,
643,Guilford College,Greensboro,NC,Private,1680,2050,40819,22964,50813,75600,91,,,,,www.guilford.edu,,,
494,"University of North Carolina, Asheville",Asheville,NC,Public,3852,4429,40676,8060,36638,76100,80,1080,1260,22,28,www.unca.edu,,,
644,Carson-Newman University,Jefferson City,TN,Private,1934,2514,40376,20126,40640,76500,67,940,1150,20,26,www.cn.edu,,,
559,"University of North Carolina, Greensboro",Greensboro,NC,Public,18091,19922,40336,9017,35818,76600,78,1030,1180,20,25,www.uncg.edu,,,
581,Oklahoma Baptist University,Shawnee,OK,Private,2056,2093,39973,18708,39840,76600,65,960,1150,20,26,www.okbu.edu,,,
520,Meredith College,Raleigh,NC,Private,1789,1980,39228,21258,49324,77100,69,1000,1195,20,25,www.meredith.edu,,,
459,Houghton College,Houghton,NY,Private,1043,1231,38823,22690,44408,77900,91,1060,1320,22,29,www.houghton.edu,,,
557,Hollins University,Roanoke,VA,Private,674,790,38763,32492,54205,78000,48,1110,1295,23,28,www.hollins.edu/index.shtml,,,
650,Catawba College,Salisbury,NC,Private,1336,1463,38741,23662,44921,78100,42,930,1100,18,23,www.catawba.edu,,,
614,Anderson University (IN),Anderson,IN,Private,1877,1961,38695,17790,43450,78600,65,910,1110,19,25,anderson.edu,,,
